"","years","GDP"
"1",1981,288.699
"2",1982,284.601
"3",1983,305.428
"4",1984,314.23
"5",1985,310.133
"6",1986,300.92
"7",1987,327.728
"8",1988,408.663
"9",1989,458.18
"10",1990,396.59
"11",1991,413.209
"12",1992,492.148
"13",1993,617.433
"14",1994,561.686
"15",1995,730.996
"16",1996,860.468
"17",1997,957.991
"18",1998,1024.167
"19",1999,1088.346
"20",2000,1205.532
"21",2001,1333.649
"22",2002,1465.829
"23",2003,1656.962
"24",2004,1949.446
"25",2005,2290.019
"26",2006,2754.149
"27",2007,3555.655
"28",2008,4577.28
"29",2009,5088.992
"30",2010,6033.83
"31",2011,7492.212
"32",2012,8539.584
"33",2013,9624.928
"34",2014,10524.241
"35",2015,11113.508
"36",2016,11226.897
"37",2017,12265.327
"38",2018,13841.812
"39",2019,14340.6
"40",2020,14862.564
