"","iso3c","GDP"
"1","IND",2674.852
"2","CHN",14862.564
"3","USA",21354.125
"4","IDN",1059.055
"5","PAK",300.41
"6","NGA",432.716
"7","BRA",1476.092
"8","BGD",373.902
"9","RUS",1488.118
"10","MEX",1120.832
"11","JPN",5054.094
"12","PHL",361.751
"13","COD",49.613
"14","ETH",96.611
"15","EGY",382.525
"16","VNM",346.31
"17","IRN",195.528
"18","TUR",717.114
"19","DEU",3936.989
"20","GBR",2698.705
"21","FRA",2645.806
"22","TZA",63.373
"23","THA",500.501
"24","ZAF",337.876
"25","ITA",1905.954
"26","KEN",100.912
"27","COL",270.348
"28","SDN",35.241
"29","MMR",77.801
"30","KOR",1744.456
"31","ESP",1288.751
"32","DZA",164.774
"33","ARG",385.218
"34","IRQ",182.576
"35","UGA",37.897
"36","AFG",20.136
"37","CAN",1655.685
"38","AGO",66.521
"39","UZB",66.443
"40","POL",599.458
"41","MAR",121.354
"42","SAU",734.271
"43","PER",206.461
"44","MYS",337.456
"45","MOZ",14.235
"46","GHA",70.005
"47","YEM",20.22
"48","MDG",13.051
"49","CIV",63.119
"50","NPL",33.434
"51","CMR",40.863
"52","UKR",156.579
"53","VEN",43.788
"54","AUS",1364.828
"55","NER",13.764
"56","PRK",NA
"57","SYR",NA
"58","BFA",17.754
"59","TWN",673.178
"60","MLI",17.643
"61","LKA",84.304
"62","MWI",11.847
"63","KAZ",171.082
"64","CHL",254.06
"65","ZMB",18.138
"66","SOM",8.628
"67","TCD",14.615
"68","SEN",24.534
"69","ROU",251.699
"70","NLD",931.814
"71","ECU",95.865
"72","GTM",77.718
"73","KHM",34.898
"74","ZWE",26.878
"75","GIN",14.089
"76","SSD",5.423
"77","RWA",10.174
"78","BEN",15.674
"79","BDI",3.086
"80","TUN",42.494
"81","JOR",43.762
"82","BEL",525.6
"83","HTI",14.508
"84","BOL",36.897
"85","ARE",349.473
"86","CZE",251.11
"87","DOM",78.923
"88","PRT",228.849
"89","SWE",545.148
"90","TJK",8.134
"91","GRC",188.329
"92","AZE",42.693
"93","ISR",413.196
"94","PNG",23.848
"95","HND",23.19
"96","CUB",NA
"97","HUN",157.289
"98","AUT",434.701
"99","CHE",741.311
"100","SLE",6.682
"101","BLR",61.312
"102","TGO",7.4
"103","LAO",18.511
"104","HKG",344.941
"105","LBY",46.893
"106","KGZ",8.283
"107","TKM",52.385
"108","NIC",12.682
"109","SRB",53.356
"110","CAF",2.389
"111","BGR",70.311
"112","COG",11.485
"113","SGP",349.488
"114","PRY",35.432
"115","SLV",24.921
"116","DNK",355.631
"117","FIN",269.784
"118","NOR",367.633
"119","LBN",24.976
"120","IRL",436.205
"121","SVK",106.652
"122","OMN",75.909
"123","NZL",210.271
"124","LBR",3.037
"125","CRI",62.382
"126","MRT",8.464
"127","KWT",111.048
"128","PAN",57.087
"129","HRV",58.179
"130","GEO",16.013
"131","ERI",NA
"132","MNG",13.313
"133","URY",53.666
"134","BIH",20.226
"135","QAT",144.411
"136","PRI",103.131
"137","ARM",12.642
"138","NAM",10.583
"139","LTU",56.873
"140","JAM",13.885
"141","GAB",15.364
"142","GMB",1.809
"143","MDA",11.53
"144","ALB",15.192
"145","BWA",14.93
"146","SVN",53.342
"147","LSO",2.092
"148","GNB",1.523
"149","LVA",34.363
"150","MKD",12.385
"151","GNQ",9.908
"152","BHR",35.838
"153","TLS",2.163
"154","TTO",20.808
"155","EST",31.791
"156","MUS",11.408
"157","SWZ",3.984
"158","DJI",3.185
"159","CYP",25.207
"160","GUY",5.471
"161","COM",1.218
"162","FJI",4.432
"163","BTN",2.586
"164","SLB",1.536
"165","MAC",25.344
"166","LUX",73.64
"167","MNE",4.777
"168","SUR",2.912
"169","MLT",16.373
"170","MDV",3.706
"171","CPV",1.831
"172","CYP",25.207
"173","BRN",12.006
"174","BLZ",2.048
"175","BHS",9.958
"176","ISL",21.63
"177","VUT",1.008
"178","BRB",5.168
"179","STP",0.476
"180","WSM",0.869
"181","LCA",1.499
"182","GUM",NA
"183","SYC",1.384
"184","KIR",0.224
"185","VCT",0.865
"186","GRD",1.043
"187","ATG",1.411
"188","TON",0.445
"189","CYM",NA
"190","VIR",NA
"191","DMA",0.504
"192","BMU",NA
"193","KNA",0.884
"194","TCA",NA
"195","MNP",NA
"196","MHL",0.242
"197","LIE",NA
"198","VGB",NA
"199","MCO",NA
"200","GIB",NA
"201","PLW",0.259
"202","AIA",NA
"203","NRU",0.125
"204","TUV",0.053
